seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recoveries,emergency_stops,unresolved_emergency_stops
5405,site_small,medium,True,1.0,1.0,103,1.25,0,0,13.30000015348196,13.30000015348196,13.30000015348196,13.30000015348196,0,0,0,0,0,0,19,17,2,0,0
5405,site_small,high,True,1.0,1.0,56,0.75,0,0,12.200000166893005,12.200000166893005,12.200000166893005,12.200000166893005,0,0,0,0,0,0,4,4,0,0,0
5405,site_medium,low,False,0.2857142857142857,0.2857142857142857,300,1.0,0,0,0,0,,0.0,0,0,0,0,0,0,86,86,0,0,0
5405,site_medium,medium,False,0.9,0.9,300,15.75,2,2.0,38.000000447034836,40.05000044703483,,44.50000049670537,2,2,0,0,0,0,76,73,3,0,0
5405,site_medium,high,False,0.5333333333333333,0.5333333333333333,300,3.5,0,0,60.00000089406967,60.00000089406967,,112.50000167638063,0,0,0,0,0,0,68,68,0,0,0
5405,site_dynamic,low,False,0.5833333333333334,0.5833333333333334,400,2.0,0,0,0,0,,0.0,0,0,0,0,0,0,96,96,0,0,0
5405,site_dynamic,medium,True,1.0,1.0,315,27.0,16,16.0,57.50000046938658,73.60000046938657,73.60000046938657,73.60000046938657,10,2,8,0,0,0,93,93,0,0,0
5405,site_dynamic,high,False,0.6521739130434783,0.6521739130434783,400,51.25,45,45.0,91.0000011920929,136.0000011920929,,208.5333351612091,28,12,16,0,0,0,128,99,29,0,0
5406,site_small,low,False,0.6666666666666666,0.6666666666666666,180,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,47,47,0,0,0
5406,site_small,medium,False,0.5,0.5,180,3.25,0,0,21.0000002682209,21.0000002682209,,42.0000005364418,0,0,0,0,0,0,43,43,0,0,0
5406,site_small,high,True,1.0,1.0,55,4.0,6,6.0,12.000000163912773,18.050000163912774,18.050000163912774,18.050000163912774,1,0,1,0,0,0,4,4,0,0,0
5406,site_medium,low,False,0.42857142857142855,0.42857142857142855,300,0.25,0,0,1.0,1.0,,2.3333333333333335,0,0,0,0,0,0,211,20,191,0,0
5406,site_medium,medium,False,0.7,0.7,300,2.75,0,0,31.000000447034836,31.000000447034836,,44.28571492433548,0,0,0,0,0,0,107,57,50,0,0
